lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
31,63.0,0,11,7,3,0,1,2018,1,0
203,120.7,0,12,30,4,2,2,2018,3,0
41,76.5,0,7,3,3,1,2,2018,2,0
29,139.0,1,8,8,4,0,1,2018,2,0
19,69.0,2,12,5,4,1,2,2017,2,0
2,85.0,1,6,14,4,1,0,2018,1,0
0,55.08,0,2,12,4,1,0,2018,2,0
55,93.5,1,3,19,4,2,2,2018,2,0
31,152.1,3,7,13,4,2,0,2018,2,0
14,187.0,0,7,3,4,1,2,2018,2,1
3,215.6,1,10,7,4,2,2,2018,3,0
87,112.03,2,8,27,4,4,2,2018,3,0
204,100.0,0,5,5,3,3,0,2018,2,1
25,166.0,1,7,4,4,3,1,2018,2,0
12,142.33,1,9,18,4,1,2,2018,2,0
193,86.5,0,7,15,4,1,0,2018,0,1
130,90.95,1,6,28,4,5,0,2018,2,1
291,115.0,0,8,19,3,2,0,2018,2,1
81,187.85,0,5,15,4,3,2,2018,2,1
239,96.3,1,10,28,4,2,0,2018,2,1
1,105.0,0,9,1,4,1,0,2017,2,0
185,90.95,0,7,18,4,5,2,2018,2,1
33,99.0,0,4,14,4,3,1,2018,2,0
32,126.9,0,5,8,4,1,2,2018,2,1
67,105.3,3,7,24,4,3,2,2018,2,0
3,162.5,0,9,19,4,4,2,2017,2,0
166,110.0,0,11,1,3,3,0,2018,1,1
305,89.0,0,11,4,3,2,1,2018,2,1
290,86.7,0,12,1,4,3,1,2018,2,1
86,90.0,0,9,9,2,2,0,2017,1,0
82,133.98,1,11,7,4,2,1,2018,1,0
1,198.77,1,5,20,4,1,0,2018,2,0
97,68.65,2,10,19,4,2,1,2017,2,0
49,74.8,2,11,16,4,4,0,2018,2,1
220,115.6,1,9,16,3,2,1,2018,3,1
24,104.0,1,12,15,4,3,0,2018,2,0
1,120.0,0,11,23,4,1,0,2018,2,0
117,123.3,1,7,29,4,2,0,2018,2,0
0,102.0,1,8,1,4,0,1,2018,2,0
